top,second,node
themes,architecture,Japanese Language School
themes,architecture,Union Station
themes,architecture,warehouse district
organizations,community organization,Executive Council for a Greater Tacoma
organizations,community organization,South Puget Sound Higher Education Council
organizations,community organization,Tacoma-Pierce County Economic Development Board (EDB)
themes,education,curriculum planning
themes,education,research
themes,education,student organization
themes,education,student services
historical context,events,Black Lives Matter movement
historical context,events,civil rights movement
historical context,events,Japanese American incarceration
historical context,events,September 11
historical context,events,Transcontinental Railroad
historical context,events,Vietnam War
organizations,governmental body,Higher Education Coordinating (HEC) Board
organizations,governmental body,Pierce County
organizations,governmental body,Washington State legislature
themes,military,Joint Base Lewis–McChord (JBLM)
themes,military,veteran
themes,urban studies,community development
themes,urban studies,economic development
themes,urban studies,historic preservation
themes,urban studies,urban development
